,,,,,,,
,,,,,,,
,,,,,,,
_____ ,_____,______,____,____,"____ __""_",,
15/10/18,__. _______700,18088,10000,,304.17,,
14/10/18,______ _ 803,121016,200,,10304.17,,
12/10/18,"______""_ 806",121008,5964,,10504.17,,
11/10/18,________ _.-_,99022,,2252.88,16468.17,,
11/10/18,_____ _____*,7913003,,36200,14215.29,,
10/10/18,_____ ______,7913002,173.1,,-21984.71,,
10/10/18,_____ ______,7913001,519.27,,-21811.61,,
10/10/18,_____ ______,6030008,2507.75,,-21292.34,,
10/10/18,_____ ____ _,998043,1523.71,,-18784.59,,
10/10/18,_____-_.____-_,611,1278,,-17260.88,,
10/10/18,_._________,980726,5827.14,,-15982.88,,
9/10/18,______ _,91007,300,,-10155.74,,
5/10/18,____-_,25300,93.26,,-9855.74,,
2/10/18,___ 10678 ,5000344,3300,,-9762.48,,
2/10/18,_____ _____,140445,10,,-6462.48,,
2/10/18,___.____ __ 5,5,8.25,,-6452.48,,
30/09/18,____ ____,140447,,0.02,-6444.23,,
30/09/18,____ ____,140446,224.08,,-6444.25,,
27/09/18,______ _ 803,270908,200,,-6220.17,,
26/09/18,__. _______700,19041,449,,-6020.17,,
25/09/18,______ _ 803,240912,200,,-5571.17,,
21/09/18,______ _ 803,210913,100,,-5371.17,,
20/09/18,______ _ 803,180907,200,,-5271.17,,
16/09/18,__. _______-_,99012,,1277,-5071.17,,
14/09/18,______ _ 803,140913,100,,-6348.17,,
13/09/18,______ _ 803,130901,200,,-6248.17,,
12/9/18,_____ ______,7913002,175.02,,-6048.17,,
12/9/18,_____ ______,7913001,525.05,,-5873.15,,
12/9/18,_____ ______,6030008,2516.94,,-5348.1,,
12/9/18,_____ ____ _,28043,1299.57,,-2831.16,,
12/9/18,_____-_.____-_,611,1277,,-1531.59,,
12/9/18,_._________,10726,5992.63,,-254.59,,
9/9/18,__. _______-_,99012,,19500,5738.04,,
5/9/18,____-_,25300,93.18,,-13761.96,,
4/9/18,______ _ 803,40918,100,,-13668.78,,
4/9/18,______ _,40907,300,,-13568.78,,
2/9/18,___ 10678 ,5000343,3300,,-13268.78,,
2/9/18,_____ _____,28727,10,,-9968.78,,
2/9/18,___.____ __ 10,10,16.5,,-9958.78,,
28/08/18,______ _ 803,280816,100,,-9942.28,,
24/08/18,__. _______-_,99012,,200,-9842.28,,
23/08/18,______ _ 803,230814,200,,-10042.28,,
23/08/18,____ _ 469,230809,100,,-9842.28,,
22/08/18,______ _ 803,220807,200,,-9742.28,,
20/08/18,__. _______-_,99012,,45,-9542.28,,
20/08/18,"_____ __""_ _-_",15997,,1,-9587.28,,
19/08/18,__. _______-_,99012,,500,-9588.28,,
15/08/18,______ _ 803,150813,100,,-10088.28,,
12/8/18,__. _______-_,99012,,10000,-9988.28,,
12/8/18,__. _______-_,99012,,1277,-19988.28,,
10/8/18,_____ ______,7913002,176.43,,-21265.28,,
10/8/18,_____ ______,7913001,531.9,,-21088.85,,
10/8/18,_____ ______,6030008,2513.18,,-20556.95,,
10/8/18,_____ ____ _,998043,1206.03,,-18043.77,,
10/8/18,_____-_.____-_,611,1277,,-16837.74,,
10/8/18,_._________,980726,6356.2,,-15560.74,,
9/8/18,______ _ 803,90812,100,,-9204.54,,
7/8/18,__. _______-_,99012,,3000,-9104.54,,
5/8/18,____-_,25300,93.18,,-12104.54,,
5/8/18,______ _ 803,30814,100,,-12011.36,,
2/8/18,___ 10678 ,5000348,3300,,-11911.36,,
2/8/18,______ _ 803,20807,200,,-8611.36,,
1/8/18,_____ _____,28782,10,,-8411.36,,
1/8/18,___.____ __ 4,4,6.6,,-8401.36,,
23/07/18,______ _ 803,220712,100,,-8394.76,,
17/07/18,______ _ 803,170709,100,,-8294.76,,
10/7/18,_____ ______,6030008,2510.87,,-8194.76,,
10/7/18,_____ ____ _,968043,1205.85,,-5683.89,,
10/7/18,_____-_.____-_,611,1275,,-4478.04,,
10/7/18,_._________,950726,22375.96,,-3203.04,,
9/7/18,__. _______700,61417,1500,,19172.92,,
8/7/18,__. _______-_,99012,,28000,20672.92,,
8/7/18,______ _ 806,80713,200,,-7327.08,,
6/7/18,____ _____ (_.___: 5/7/2018),26537,,1500,-7127.08,,
5/7/18,__. _______700,6131,1500,,-8627.08,,
5/7/18,____-_,25300,93.08,,-7127.08,,
5/7/18,_____ _____*,7913002,,2000,-7034,,
4/7/18,______ _ 803,30718,400,,-9034,,
3/7/18,__. _______700,52422,500,,-8634,,
3/7/18,______ _,30707,700,,-8134,,
3/7/18,_____ _____*,7913001,,6000,-7434,,
2/7/18,___ 10678 ,5000341,3300,,-13434,,
1/7/18,_____ _____,136681,10,,-10134,,
1/7/18,___.____ __ 4,4,6.6,,-10124,,
29/06/18,____ ____,136683,,0.01,-10117.4,,
29/06/18,____ ____,136682,209.81,,-10117.41,,
26/06/18,______ _ 803,260609,100,,-9907.6,,
24/06/18,__. _______-_,99012,,200,-9807.6,,
20/06/18,______ _ 803,200609,100,,-10007.6,,
17/06/18,______ _ 803,150614,100,,-9907.6,,
11/6/18,______ _ 803,110612,200,,-9807.6,,
10/6/18,__. _______700,149660,278,,-9607.6,,
10/6/18,_____ ______,6030008,2513.45,,-9329.6,,
10/6/18,_____ ____ _,768043,1234.32,,-6816.15,,
10/6/18,__. _______-_,99012,,9500,-5581.83,,
10/6/18,__. _______-_,99012,,150,-15081.83,,
10/6/18,_____-_.____-_,611,1269,,-15231.83,,
10/6/18,_._________,750726,4106.85,,-13962.83,,
5/6/18,____-_,25300,127.14,,-9855.98,,
3/6/18,__. _______-_,99012,,2000,-9728.84,,
1/6/18,___ 10678 ,5000340,3300,,-11728.84,,
1/6/18,_____ _____,28096,10,,-8428.84,,
1/6/18,___.____ __ 11,11,18.15,,-8418.84,,
13/05/18,______ ____989,120520,205.9,,-8400.69,,
13/05/18,______ _ 803,130518,200,,-8194.79,,
10/5/18,_____ ______,6030008,2510.67,,-7994.79,,
10/5/18,_____ ____ _,298043,1252.44,,-5484.12,,
10/5/18,_____-_.____-_,611,1264,,-4231.68,,
10/5/18,______ _ 803,100517,500,,-2967.68,,
10/5/18,_._________,280726,9559.13,,-2467.68,,
9/5/18,__. _______-_,99012,,538,7091.45,,
8/5/18,______ ____989,80510,205,,6553.45,,
8/5/18,______ _,80508,400,,6758.45,,
7/5/18,_____ ______,7909001,12024.39,,7158.45,,
7/5/18,__. _______-_,99012,,10462,19182.84,,
6/5/18,__. _______700,90398,139,,8720.84,,
6/5/18,__. _______700,66806,320,,8859.84,,
6/5/18,__. _______-_,99012,,12000,9179.84,,
6/5/18,____-_,25300,126.75,,-2820.16,,
6/5/18,______ _ 803,60508,200,,-2693.41,,
3/5/18,__. _______-_,99012,,800,-2493.41,,
3/5/18,__. _______-_,99012,,70,-3293.41,,
2/5/18,___ 10678 ,5000339,3300,,-3363.41,,
1/5/18,_____ _____,31619,10,,-63.41,,
1/5/18,___.____ __ 3,3,4.95,,-53.41,,
1/5/18,______ _ 803,300419,100,,-48.46,,
30/04/18,__. _______700,29164,400,,51.54,,
30/04/18,__. _______700,28968,1800,,451.54,,
30/04/18,_____ _____*,7909001,,12000,2251.54,,
29/04/18,__. _______700,57692,139,,-9748.46,,
29/04/18,______ _ 803,290412,100,,-9609.46,,
22/04/18,__. _______700,69472,139,,-9509.46,,
16/04/18,__. _______-_,99012,,200,-9370.46,,
15/04/18,__. _______700,107918,139,,-9570.46,,
15/04/18,______ ____989,150412,405,,-9431.46,,
11/4/18,__. _______-_,99012,,13000,-9026.46,,
10/4/18,_____ ______,6030008,2510.57,,-22026.46,,
10/4/18,_____ ____ _,278043,1439.76,,-19515.89,,
10/4/18,_____-_.____-_,611,1260,,-18076.13,,
10/4/18,______ _ 803,100408,400,,-16816.13,,
10/4/18,_._________,260726,6417.8,,-16416.13,,
5/4/18,___ 10678 ,5000338,3300,,-9998.33,,
5/4/18,____-_,25300,98.46,,-6698.33,,
1/4/18,_____ _____,143731,10,,-6599.87,,
1/4/18,___.____ __ 4,4,6.6,,-6589.87,,
